label_name,cnt,is_read,account_url,token_url,account_cnt,token_cnt
0x Protocol,3,0,https://bscscan.com/accounts/label/0x-protocol,,3,
Adult,29,0,,https://bscscan.com/tokens/label/adult,,29
Advertising,14,0,,https://bscscan.com/tokens/label/advertising,,14
Agriculture,29,0,,https://bscscan.com/tokens/label/agriculture,,29
Airdrop / Distributor,2,0,,https://bscscan.com/tokens/label/airdrop-distributor,,2
Algorithmic Stablecoin,12,0,,https://bscscan.com/tokens/label/algorithmic-stablecoin,,12
AMM,15,0,,https://bscscan.com/tokens/label/amm,,15
Analytics,5,0,,https://bscscan.com/tokens/label/analytics,,5
App Development,5,0,,https://bscscan.com/tokens/label/app-development,,5
Apparel,2,0,,https://bscscan.com/tokens/label/apparel,,2
AR,6,0,,https://bscscan.com/tokens/label/ar,,6
Art,21,0,,https://bscscan.com/tokens/label/art,,21
Artificial Intelligence,143,0,,https://bscscan.com/tokens/label/artificial-intelligence,,143
Asset Management,14,0,,https://bscscan.com/tokens/label/asset-management,,14
Asset Token,4,0,,https://bscscan.com/tokens/label/asset-token,,4
Auction,2,0,,https://bscscan.com/tokens/label/auction,,2
Augmented Finance,66,0,https://bscscan.com/accounts/label/augmented-finance,,66,
Banking,6,0,,https://bscscan.com/tokens/label/banking,,6
Beauty,1,0,,https://bscscan.com/tokens/label/beauty,,1
Beefy,14,0,https://bscscan.com/accounts/label/beefy,https://bscscan.com/tokens/label/beefy,13,1
Beverage,2,0,,https://bscscan.com/tokens/label/beverage,,2
Binance,53,0,https://bscscan.com/accounts/label/binance,https://bscscan.com/tokens/label/binance,40,13
Binance-Peg,108,0,https://bscscan.com/accounts/label/binance-pegged,https://bscscan.com/tokens/label/binance-pegged,42,66
Bitcoin Pegged,2,0,https://bscscan.com/accounts/label/bitcoin-pegged,https://bscscan.com/tokens/label/bitcoin-pegged,1,1
Blockchain,261,0,,https://bscscan.com/tokens/label/blockchain,,261
Blocked,1,0,,https://bscscan.com/tokens/label/blocked,,1
BNB Smart Chain,12,0,https://bscscan.com/accounts/label/bnb-smart-chain,https://bscscan.com/tokens/label/bnb-smart-chain,11,1
Bridge,44,0,https://bscscan.com/accounts/label/bridge,https://bscscan.com/tokens/label/bridge,30,14
Bridged Token,235,0,https://bscscan.com/accounts/label/bridged-token,https://bscscan.com/tokens/label/bridged-token,1,234
BscSwap,728,0,https://bscscan.com/accounts/label/bscswap,https://bscscan.com/tokens/label/bscswap,727,1
BurgerSwap,815,0,https://bscscan.com/accounts/label/burgerswap,,815,
Burn,23,0,https://bscscan.com/accounts/label/burn,https://bscscan.com/tokens/label/burn,22,1
bZx,4,0,https://bscscan.com/accounts/label/bzx,https://bscscan.com/tokens/label/bzx,2,2
Chainlink,84,0,https://bscscan.com/accounts/label/chainlink,,84,
Charity,161,0,https://bscscan.com/accounts/label/charity,https://bscscan.com/tokens/label/charity,2,159
Closure,4,0,https://bscscan.com/accounts/label/closure,https://bscscan.com/tokens/label/closure,1,3
Cloud,8,0,,https://bscscan.com/tokens/label/cloud,,8
Collectibles,17,0,,https://bscscan.com/tokens/label/collectibles,,17
Commodity,4,0,,https://bscscan.com/tokens/label/commodity,,4
Communication,10,0,,https://bscscan.com/tokens/label/communication,,10
Company Funds,1,0,,https://bscscan.com/tokens/label/company-funds,,1
Compromised,2,0,https://bscscan.com/accounts/label/compromised,https://bscscan.com/tokens/label/compromised,1,1
Computing,5,0,,https://bscscan.com/tokens/label/computing,,5
Contract Deployer,12187,0,https://bscscan.com/accounts/label/contract-deployer,https://bscscan.com/tokens/label/contract-deployer,12186,1
Cream.Finance,36,0,https://bscscan.com/accounts/label/cream-finance,https://bscscan.com/tokens/label/cream-finance,13,23
Crowdfunding,19,0,,https://bscscan.com/tokens/label/crowdfunding,,19
Crypto Card,1,0,,https://bscscan.com/tokens/label/crypto-card,,1
Currency,19,0,,https://bscscan.com/tokens/label/currency,,19
DAO,101,0,https://bscscan.com/accounts/label/dao,https://bscscan.com/tokens/label/dao,1,100
Data,22,0,,https://bscscan.com/tokens/label/data,,22
Dating,4,0,,https://bscscan.com/tokens/label/dating,,4
Decentralized Web,169,0,,https://bscscan.com/tokens/label/decentralized-web,,169
DeFi,1507,0,https://bscscan.com/accounts/label/defi,https://bscscan.com/tokens/label/defi,33,1474
Deflationary,445,0,https://bscscan.com/accounts/label/deflationary,https://bscscan.com/tokens/label/deflationary,1,444
Deprecated,8,0,https://bscscan.com/accounts/label/deprecated,,8,
Derivatives,3,0,,https://bscscan.com/tokens/label/derivatives,,3
Design,3,0,,https://bscscan.com/tokens/label/design,,3
DEX,144,0,https://bscscan.com/accounts/label/dex,https://bscscan.com/tokens/label/dex,7,137
dForce,52,0,https://bscscan.com/accounts/label/dforce,https://bscscan.com/tokens/label/dforce,26,26
Donate,8,0,https://bscscan.com/accounts/label/donate,,8,
E-Commerce,87,0,https://bscscan.com/accounts/label/e-commerce,https://bscscan.com/tokens/label/e-commerce,3,84
Education,78,0,https://bscscan.com/accounts/label/education,https://bscscan.com/tokens/label/education,1,77
Electricity,1,0,,https://bscscan.com/tokens/label/electricity,,1
Electronics,3,0,,https://bscscan.com/tokens/label/electronics,,3
Energy Sector,49,0,,https://bscscan.com/tokens/label/energy-sector,,49
Entertainment,67,0,https://bscscan.com/accounts/label/entertainment,https://bscscan.com/tokens/label/entertainment,1,66
Environment,60,0,,https://bscscan.com/tokens/label/environment,,60
Escrow,2,0,,https://bscscan.com/tokens/label/escrow,,2
Esports,21,0,,https://bscscan.com/tokens/label/esports,,21
Events,2,0,,https://bscscan.com/tokens/label/events,,2
Exchange,161,0,https://bscscan.com/accounts/label/exchange,https://bscscan.com/tokens/label/exchange,49,112
Factory Contract,2,0,https://bscscan.com/accounts/label/factory-contract,,2,
Farming,22,0,,https://bscscan.com/tokens/label/farming,,22
Fashion,10,0,,https://bscscan.com/tokens/label/fashion,,10
Fiat Gateway,1,0,,https://bscscan.com/tokens/label/fiat-gateway,,1
Finance,310,0,https://bscscan.com/accounts/label/finance,https://bscscan.com/tokens/label/finance,5,305
Fintech,31,0,,https://bscscan.com/tokens/label/fintech,,31
Fitness,46,0,https://bscscan.com/accounts/label/fitness,https://bscscan.com/tokens/label/fitness,6,40
