label_name,current_cnt,old_cnt,cnt_diff,account_url,token_url
Beacon Depositor,153969,150484,3485,https://etherscan.io/accounts/label/beacon-depositor,https://etherscan.io/tokens/label/beacon-depositor
Bridged Token,1804,1762,42,https://etherscan.io/accounts/label/bridged-token,https://etherscan.io/tokens/label/bridged-token
Communication,15,14,1,https://etherscan.io/accounts/label/communication,https://etherscan.io/tokens/label/communication
DeFi,2197,2183,14,https://etherscan.io/accounts/label/defi,https://etherscan.io/tokens/label/defi
DEX,265,264,1,https://etherscan.io/accounts/label/dex,https://etherscan.io/tokens/label/dex
Gambling,167,164,3,https://etherscan.io/accounts/label/gambling,https://etherscan.io/tokens/label/gambling
Gaming,712,709,3,https://etherscan.io/accounts/label/gaming,https://etherscan.io/tokens/label/gaming
Insurance,53,52,1,https://etherscan.io/accounts/label/insurance,https://etherscan.io/tokens/label/insurance
Layer 2,152,151,1,https://etherscan.io/accounts/label/layer-2,https://etherscan.io/tokens/label/layer-2
Liquid,12,11,1,https://etherscan.io/accounts/label/liquid,https://etherscan.io/tokens/label/liquid
Marketing,38,37,1,https://etherscan.io/accounts/label/marketing,https://etherscan.io/tokens/label/marketing
Mining,206,205,1,https://etherscan.io/accounts/label/mining,https://etherscan.io/tokens/label/mining
Network,58,57,1,https://etherscan.io/accounts/label/network,https://etherscan.io/tokens/label/network
Old Contract,1937,1932,5,https://etherscan.io/accounts/label/old-contract,https://etherscan.io/tokens/label/old-contract
Security,61,59,2,https://etherscan.io/accounts/label/security,https://etherscan.io/tokens/label/security
Services / Solutions,103,102,1,https://etherscan.io/accounts/label/services-solutions,https://etherscan.io/tokens/label/services-solutions
Social Networking,90,89,1,https://etherscan.io/accounts/label/social-networking,https://etherscan.io/tokens/label/social-networking
Stablecoin,256,254,2,https://etherscan.io/accounts/label/stablecoin,https://etherscan.io/tokens/label/stablecoin
Staking,674,672,2,https://etherscan.io/accounts/label/staking,https://etherscan.io/tokens/label/staking
SushiSwap,3926,3916,10,https://etherscan.io/accounts/label/sushiswap,https://etherscan.io/tokens/label/sushiswap
Trading,252,251,1,https://etherscan.io/accounts/label/trading,https://etherscan.io/tokens/label/trading
Uniswap,311458,307271,4187,https://etherscan.io/accounts/label/uniswap,https://etherscan.io/tokens/label/uniswap
Website Down,924,923,1,https://etherscan.io/accounts/label/website-down,https://etherscan.io/tokens/label/website-down
